ID,First_Name,Last_Name,Gender,DOB,Age,Organisation,Rank,Operational_Region,Operational_City,ChildID
Ndr0001077,Lapo,Rossi,M,08/09/1957,64,'Ndrangheta,Capo,Calabria,Montalto Uffugo,Ndr0003041
Ndr0001067,Alberto,Rossi,M,11/10/1987,34,'Ndrangheta,Capo,Calabria,Lamezia Terme,Ndr0003522
Ndr0000830,Riccardo,Rossi,M,06/12/1960,61,'Ndrangheta,Capo,Calabria,Acri,
Ndr0003742,Salvo,Rossi,M,20/10/1966,55,'Ndrangheta,Soldier,Calabria,Lamezia Terme,
Ndr0004718,Filippo,Rossi,M,08/01/1953,69,'Ndrangheta,Soldier,Calabria,Lamezia Terme,Ndr0001067
Ndr0000686,Francesca,Rossi,F,16/09/1990,31,'Ndrangheta,Capo,Calabria,Montalto Uffugo,
Ndr0003660,Sergio,Rossi,M,31/08/1999,22,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,
Ndr0003661,Saverio,Rossi,M,13/08/1949,72,'Ndrangheta,Soldier,Calabria,Vibo Valentia,Ndr0003742
Ndr0003224,Raffaello,Rossi,M,02/04/1957,65,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,Ndr0000686
Ndr0003236,Biagio,Rossi,M,22/05/1988,33,'Ndrangheta,Soldier,Calabria,Crotone,
Ndr0005690,Pasquale,Rossi,M,11/04/1948,74,'Ndrangheta,Associate,Calabria,Cosenza,Ndr0003660
Ndr0004728,Riccardo,Rossi,M,07/01/1952,70,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,
Ndr0005505,Silvio,Rossi,M,15/12/1974,47,'Ndrangheta,Associate,Calabria,Rende,
Ndr0000783,Umberto,Rossi,M,03/12/1975,46,'Ndrangheta,Capo,Calabria,Lamezia Terme,
Ndr0002914,Claudia,Rossi,F,17/06/2004,17,'Ndrangheta,Soldier,Calabria,Rende,
Ndr0003308,Massimo,Rossi,M,14/03/1992,30,'Ndrangheta,Soldier,Calabria,Cosenza,
Ndr0001666,Adriano,Rossi,M,12/02/1953,69,'Ndrangheta,Soldier,Calabria,Cosenza,Ndr0005505
Ndr0001634,Tommaso,Rossi,M,17/08/2005,16,'Ndrangheta,Soldier,Calabria,Vibo Valentia,
Ndr0004859,Patrizio,Rossi,M,28/02/2002,20,'Ndrangheta,Soldier,Calabria,Lamezia Terme,
Ndr0003402,Simone,Rossi,M,04/12/1994,27,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,
Ndr0002909,Massimo,Rossi,M,02/01/1955,67,'Ndrangheta,Soldier,Calabria,Acri,Ndr0001634
Ndr0003252,Silvio,Rossi,M,12/03/1956,66,'Ndrangheta,Soldier,Calabria,Cosenza,Ndr0001634
Ndr0005366,Claudio,Rossi,M,12/08/1991,30,'Ndrangheta,Associate,Calabria,Catanzaro,
Ndr0003706,Zeno,Rossi,M,25/05/1991,30,'Ndrangheta,Soldier,Calabria,Vibo Valentia,
Ndr0003251,Fabrizio,Rossi,M,09/08/1975,46,'Ndrangheta,Soldier,Calabria,Lamezia Terme,
Ndr0002905,Mario,Rossi,M,19/09/1971,50,'Ndrangheta,Soldier,Calabria,Crotone,Ndr0005366
Ndr0002878,Gioele,Rossi,M,05/03/1959,63,'Ndrangheta,Soldier,Calabria,Cosenza,Ndr0005366
Ndr0003668,Giulio,Rossi,M,19/12/1967,54,'Ndrangheta,Soldier,Calabria,Lamezia Terme,Ndr0003706
Ndr0000755,Rosa,Rossi,F,09/04/1982,40,'Ndrangheta,Capo,Calabria,Catanzaro,
Ndr0005133,Davide,Rossi,M,26/07/1967,54,'Ndrangheta,Associate,Calabria,Vibo Valentia,
Ndr0001676,Massimiliano,Rossi,M,03/05/1990,31,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,
Ndr0005368,Lucio,Rossi,M,01/04/2004,18,'Ndrangheta,Associate,Calabria,Cosenza,
Ndr0001724,Bruno,Rossi,M,20/03/1970,52,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,
Ndr0003713,Umberto,Rossi,M,03/08/1994,27,'Ndrangheta,Soldier,Calabria,Castrovillari,
Ndr0001763,Carlo,Rossi,M,11/10/1950,71,'Ndrangheta,Soldier,Calabria,Crotone,Ndr0001676
Ndr0005517,Umberto,Rossi,M,07/12/2005,16,'Ndrangheta,Associate,Calabria,Montalto Uffugo,
Ndr0004891,Vincenzo,Rossi,M,05/02/1982,40,'Ndrangheta,Soldier,Calabria,Reggio Calabria,
Ndr0003273,Carlo,Rossi,M,23/09/1971,50,'Ndrangheta,Soldier,Calabria,Castrovillari,Ndr0003713
Ndr0002798,Fabio,Rossi,M,04/08/1951,70,'Ndrangheta,Soldier,Calabria,Reggio Calabria,Ndr0005517
Ndr0002797,Cristian,Rossi,M,09/12/1981,40,'Ndrangheta,Soldier,Calabria,Catanzaro,Ndr0005517
Ndr0000647,Irene,Rossi,F,06/05/1972,49,'Ndrangheta,Capo,Calabria,Cosenza,
Ndr0001800,Ernesto,Rossi,M,28/08/1976,45,'Ndrangheta,Soldier,Calabria,Vibo Valentia,
Ndr0001238,Alfredo,Rossi,M,10/06/1979,42,'Ndrangheta,Capo,Calabria,Rende,
Ndr0003282,Rocco,Rossi,M,06/04/1983,39,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,
Ndr0004880,Valerio,Rossi,M,09/01/1992,30,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,
Ndr0003792,Dario,Rossi,M,31/10/1956,65,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,Ndr0001800
Ndr0001811,Tommaso,Rossi,M,06/09/1972,49,'Ndrangheta,Soldier,Calabria,Cosenza,
Ndr0000637,Vincenzo,Rossi,M,22/11/1968,53,'Ndrangheta,Capo,Calabria,Crotone,Ndr0004880
Ndr0004903,Felice,Rossi,M,03/04/1962,60,'Ndrangheta,Soldier,Calabria,Lamezia Terme,Ndr0004880
Ndr0002779,Cristian,Rossi,M,21/04/1989,32,'Ndrangheta,Soldier,Calabria,Vibo Valentia,
Ndr0002775,Tiziano,Rossi,M,30/07/1977,44,'Ndrangheta,Soldier,Calabria,Vibo Valentia,
Ndr0001247,Tiziano,Rossi,M,21/07/1977,44,'Ndrangheta,Capo,Calabria,Crotone,
Ndr0004918,Paolo,Rossi,M,27/01/1976,46,'Ndrangheta,Soldier,Calabria,Catanzaro,
Ndr0002747,Dario,Rossi,M,28/08/1953,68,'Ndrangheta,Soldier,Calabria,Rende,Ndr0002779
Ndr0000597,Fabrizio,Rossi,M,16/02/1965,57,'Ndrangheta,Capo,Calabria,Crotone,
Ndr0004703,Salvo,Rossi,M,13/06/1994,27,'Ndrangheta,Soldier,Calabria,Vibo Valentia,
Ndr0004934,Walter,Rossi,M,27/10/1988,33,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,
Ndr0001845,Saverio,Rossi,M,15/02/1994,28,'Ndrangheta,Soldier,Calabria,Crotone,
Ndr0003294,Luca,Rossi,M,07/03/1997,25,'Ndrangheta,Soldier,Calabria,Lamezia Terme,
Ndr0005485,Alfredo,Rossi,M,30/11/1980,41,'Ndrangheta,Associate,Calabria,Rende,
Ndr0005570,Emiliano,Rossi,M,19/07/1961,60,'Ndrangheta,Associate,Calabria,Castrovillari,Ndr0004934
Ndr0004655,Ludovico,Rossi,M,25/12/2001,20,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,
Ndr0001148,Gioele,Rossi,M,02/06/1954,67,'Ndrangheta,Capo,Calabria,Corigliano-Rossano,Ndr0003294
Ndr0000446,Salvo,Rossi,M,09/11/1947,74,'Ndrangheta,Capo,Calabria,Crotone,Ndr0005485
Ndr0002262,Walter,Rossi,M,30/12/1960,61,'Ndrangheta,Soldier,Calabria,Catanzaro,Ndr0004655
Ndr0000434,Ezio,Rossi,M,19/08/1983,38,'Ndrangheta,Capo,Calabria,Crotone,Ndr0004655
Ndr0002690,Alessandra,Rossi,F,01/04/1977,45,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,
Ndr0002645,Agnese,Rossi,F,10/09/1981,40,'Ndrangheta,Soldier,Calabria,Rende,
Ndr0005171,Mario,Rossi,M,23/07/1990,31,'Ndrangheta,Associate,Calabria,Montalto Uffugo,
Ndr0001976,Emiliano,Rossi,M,26/03/1992,30,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,
Ndr0002450,Corrado,Rossi,M,02/04/1951,71,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,Ndr0002690
Ndr0004196,Daniele,Rossi,M,29/07/1970,51,'Ndrangheta,Soldier,Calabria,Lamezia Terme,Ndr0005171
Ndr0000100,Emanuele,Rossi,M,30/06/1986,35,'Ndrangheta,Boss,Calabria,Lamezia Terme,
Ndr0004082,Rita,Rossi,F,02/12/1965,56,'Ndrangheta,Soldier,Calabria,Reggio Calabria,Ndr0001976
Ndr0005813,Roberto,Rossi,M,15/01/1963,59,'Ndrangheta,Associate,Calabria,Lamezia Terme,
Ndr0002076,Vincenzo,Rossi,M,17/02/1985,37,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,
Ndr0002079,Maurizio,Rossi,M,13/06/1947,74,'Ndrangheta,Soldier,Calabria,Vibo Valentia,Ndr0000100
Ndr0005197,Salvatore,Rossi,M,16/07/1967,54,'Ndrangheta,Associate,Calabria,Vibo Valentia,
Ndr0000105,Mario,Rossi,M,28/11/1954,67,'Ndrangheta,UnderBoss,Calabria,Montalto Uffugo,Ndr0002076
Ndr0000233,Ezio,Rossi,M,10/04/1995,27,'Ndrangheta,Capo,Calabria,Reggio Calabria,
Ndr0002096,Silvio,Rossi,M,21/03/1993,29,'Ndrangheta,Soldier,Calabria,Castrovillari,
Ndr0002468,Alessio,Rossi,M,22/03/1978,44,'Ndrangheta,Soldier,Calabria,Cosenza,
Ndr0004101,Biagio,Rossi,M,29/04/2003,18,'Ndrangheta,Soldier,Calabria,Rende,
Ndr0002187,Adriano,Rossi,M,01/07/1999,22,'Ndrangheta,Soldier,Calabria,Catanzaro,
Ndr0004191,Filippo,Rossi,M,28/05/1963,58,'Ndrangheta,Soldier,Calabria,Reggio Calabria,Ndr0002096
Ndr0002176,Rosario,Rossi,M,08/03/1966,56,'Ndrangheta,Soldier,Calabria,Reggio Calabria,Ndr0004101
Ndr0005254,Rosario,Rossi,M,29/04/1957,64,'Ndrangheta,Associate,Calabria,Corigliano-Rossano,Ndr0004101
Ndr0002506,Silvio,Rossi,M,14/08/1989,32,'Ndrangheta,Soldier,Calabria,Catanzaro,
Ndr0003905,Fabrizio,Rossi,M,25/07/1997,24,'Ndrangheta,Soldier,Calabria,Acri,
Ndr0001906,Corrado,Rossi,M,18/08/1961,60,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,
Ndr0002323,Lapo,Rossi,M,08/07/1996,25,'Ndrangheta,Soldier,Calabria,Castrovillari,
Ndr0004221,Filippo,Rossi,M,12/05/2002,19,'Ndrangheta,Soldier,Calabria,Vibo Valentia,
Ndr0001963,Ludovico,Rossi,M,19/06/1959,62,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,Ndr0003905
Ndr0001944,Marcello,Rossi,M,04/11/1975,46,'Ndrangheta,Soldier,Calabria,Rende,Ndr0002323
Ndr0005969,Eleonora,Rossi,F,08/09/1959,62,'Ndrangheta,Associate,Calabria,Vibo Valentia,Ndr0002323
Ndr0003941,Ferdinando,Rossi,M,02/05/1947,74,'Ndrangheta,Soldier,Calabria,Reggio Calabria,Ndr0004221
Ndr0000405,Giacomo,Rossi,M,17/04/1988,33,'Ndrangheta,Capo,Calabria,Acri,
Ndr0002246,Aldo,Rossi,M,07/04/1999,23,'Ndrangheta,Soldier,Calabria,Vibo Valentia,
Ndr0004293,Elio,Rossi,M,27/07/1950,71,'Ndrangheta,Soldier,Calabria,Vibo Valentia,
Ndr0000047,Cristina,Rossi,F,20/09/1947,74,'Ndrangheta,Boss,Calabria,Crotone,Ndr0000405
Ndr0005126,Riccardo,Rossi,M,11/05/1956,65,'Ndrangheta,Associate,Calabria,Corigliano-Rossano,Ndr0000405
Ndr0001934,Sergio,Rossi,M,05/04/1973,49,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,Ndr0002246
Ndr0005822,Neri,Rossi,M,06/11/1987,34,'Ndrangheta,Associate,Calabria,Cosenza,
Ndr0004445,Alberto,Rossi,M,04/08/1949,72,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,
Ndr0004443,Angelo,Rossi,M,31/05/1974,47,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,
Ndr0004944,Rosario,Rossi,M,11/08/2000,21,'Ndrangheta,Soldier,Calabria,Lamezia Terme,
Ndr0002316,Ludovico,Rossi,M,12/08/1980,41,'Ndrangheta,Soldier,Calabria,Rende,
Ndr0001877,Cristina,Rossi,F,21/06/1989,32,'Ndrangheta,Soldier,Calabria,Lamezia Terme,
Ndr0005988,Fausto,Rossi,M,15/07/1979,42,'Ndrangheta,Associate,Calabria,Vibo Valentia,Ndr0004944
Ndr0000504,Francesco,Rossi,M,16/10/1970,51,'Ndrangheta,Capo,Calabria,Acri,Ndr0004944
Ndr0005803,Bruno,Rossi,M,09/12/1982,39,'Ndrangheta,Associate,Calabria,Acri,
Ndr0004286,Niccolo,Rossi,M,28/02/1999,23,'Ndrangheta,Soldier,Calabria,Acri,
Ndr0002286,Adriano,Rossi,M,29/05/1992,29,'Ndrangheta,Soldier,Calabria,Crotone,
Ndr0001892,Asia,Rossi,F,24/09/1988,33,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,
Ndr0003884,Andrea,Rossi,M,04/09/1987,34,'Ndrangheta,Soldier,Calabria,Rende,
Ndr0000034,Renato,Rossi,M,27/02/1969,53,'Ndrangheta,Boss,Calabria,Rende,Ndr0004286
Ndr0003591,Fulvio,Rossi,M,04/08/1995,26,'Ndrangheta,Soldier,Calabria,Acri,
Ndr0002415,Fulvio,Rossi,M,09/07/1997,24,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,
Ndr0004189,Elvira,Rossi,F,25/04/1953,68,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,Ndr0003884
Ndr0000140,Lapo,Rossi,M,05/05/1953,68,'Ndrangheta,UnderBoss,Calabria,Castrovillari,Ndr0003591
Ndr0002595,Giulio,Rossi,M,12/01/1984,38,'Ndrangheta,Soldier,Calabria,Reggio Calabria,
Ndr0003983,Simone,Rossi,M,21/08/1989,32,'Ndrangheta,Soldier,Calabria,Cosenza,
Ndr0000321,Livia,Rossi,F,11/07/1984,37,'Ndrangheta,Capo,Calabria,Vibo Valentia,
Ndr0002574,Violante,Rossi,F,10/07/1979,42,'Ndrangheta,Soldier,Calabria,Crotone,
Ndr0002371,Michele,Rossi,M,22/06/1986,35,'Ndrangheta,Soldier,Calabria,Rende,
Ndr0002389,Felice,Rossi,M,08/12/1950,71,'Ndrangheta,Soldier,Calabria,Castrovillari,Ndr0003983
Ndr0003996,Fabiana,Rossi,F,22/05/1976,45,'Ndrangheta,Soldier,Calabria,Reggio Calabria,
Ndr0002041,Camillo,Rossi,M,20/11/1982,39,'Ndrangheta,Soldier,Calabria,Reggio Calabria,
Ndr0005014,Tullia,Rossi,F,01/11/1974,47,'Ndrangheta,Soldier,Calabria,Vibo Valentia,
Ndr0005215,Adele,Rossi,F,03/03/1990,32,'Ndrangheta,Associate,Calabria,Corigliano-Rossano,
Ndr0002530,Martina,Rossi,F,07/09/1975,46,'Ndrangheta,Soldier,Calabria,Lamezia Terme,
Ndr0000137,Patrizio,Rossi,M,27/09/1977,44,'Ndrangheta,UnderBoss,Calabria,Montalto Uffugo,
Ndr0000273,Lapo,Rossi,M,31/03/1963,59,'Ndrangheta,Capo,Calabria,Reggio Calabria,Ndr0005215
Ndr0000252,Saverio,Rossi,M,08/12/1950,71,'Ndrangheta,Capo,Calabria,Crotone,Ndr0005215
Ndr0005762,Valentino,Rossi,M,12/04/2000,22,'Ndrangheta,Associate,Calabria,Cosenza,
Ndr0005138,Claudio,Rossi,M,16/04/1978,43,'Ndrangheta,Associate,Calabria,Vibo Valentia,
Ndr0001535,Mattia,Rossi,M,20/06/1971,50,'Ndrangheta,Capo,Calabria,Montalto Uffugo,
Ndr0003196,Giuliano,Rossi,M,28/09/1970,51,'Ndrangheta,Soldier,Calabria,Crotone,Ndr0005762
Ndr0005648,Marcello,Rossi,M,13/01/1993,29,'Ndrangheta,Associate,Calabria,Montalto Uffugo,
Ndr0003550,Mario,Rossi,M,17/05/1984,37,'Ndrangheta,Soldier,Calabria,Vibo Valentia,
Ndr0003554,Antonello,Rossi,M,10/11/1949,72,'Ndrangheta,Soldier,Calabria,Vibo Valentia,Ndr0001535
Ndr0003375,Laura,Rossi,F,17/04/1963,58,'Ndrangheta,Soldier,Calabria,Rende,Ndr0005648
Ndr0003568,Vincenzo,Rossi,M,11/06/1947,74,'Ndrangheta,Soldier,Calabria,Crotone,Ndr0005648
Ndr0001563,Angelo,Rossi,M,21/07/1967,54,'Ndrangheta,Capo,Calabria,Reggio Calabria,Ndr0003550
Ndr0005021,Nicola,Rossi,M,08/11/1997,24,'Ndrangheta,Soldier,Calabria,Castrovillari,
Ndr0002005,Alberto,Rossi,M,31/03/1986,36,'Ndrangheta,Soldier,Calabria,Cosenza,
Ndr0000078,Vincenzo,Rossi,M,23/08/1973,48,'Ndrangheta,Boss,Calabria,Reggio Calabria,
Ndr0005143,Augusto,Rossi,M,11/04/1977,45,'Ndrangheta,Associate,Calabria,Acri,Ndr0005021
Ndr0002424,Silvio,Rossi,M,22/05/1960,61,'Ndrangheta,Soldier,Calabria,Catanzaro,Ndr0005021
Ndr0000178,Domenico,Rossi,M,09/10/1978,43,'Ndrangheta,UnderBoss,Calabria,Lamezia Terme,
Ndr0005940,Luisa,Rossi,F,22/04/1965,56,'Ndrangheta,Associate,Calabria,Acri,
Ndr0005057,Cosimo,Rossi,M,25/04/1947,74,'Ndrangheta,Soldier,Calabria,Acri,Ndr0005143
Ndr0005923,Vincenzo,Rossi,M,01/04/1987,35,'Ndrangheta,Associate,Calabria,Crotone,
Ndr0000172,Valentino,Rossi,M,03/05/1957,64,'Ndrangheta,UnderBoss,Calabria,Lamezia Terme,Ndr0000178
Ndr0000167,Valerio,Rossi,M,09/04/1986,36,'Ndrangheta,UnderBoss,Calabria,Lamezia Terme,
Ndr0000163,Saverio,Rossi,M,07/02/1971,51,'Ndrangheta,UnderBoss,Calabria,Castrovillari,
Ndr0005175,Vincenzo,Rossi,M,26/02/1985,37,'Ndrangheta,Associate,Calabria,Acri,
Ndr0002160,Tiziano,Rossi,M,20/09/1977,44,'Ndrangheta,Soldier,Calabria,Lamezia Terme,
Ndr0004395,Augusto,Rossi,M,29/05/1970,51,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,
Ndr0000251,Simone,Rossi,M,12/11/1983,38,'Ndrangheta,Capo,Calabria,Montalto Uffugo,
Ndr0004201,Rosario,Rossi,M,21/06/1986,35,'Ndrangheta,Soldier,Calabria,Catanzaro,
Ndr0002066,Francesco,Rossi,M,01/08/1959,62,'Ndrangheta,Soldier,Calabria,Corigliano-Rossano,Ndr0002160
Ndr0002356,Marcello,Rossi,M,04/12/1967,54,'Ndrangheta,Soldier,Calabria,Rende,
Ndr0002002,Aldo,Rossi,M,05/03/1999,23,'Ndrangheta,Soldier,Calabria,Acri,
Ndr0004988,Maurizio,Rossi,M,15/06/1975,46,'Ndrangheta,Soldier,Calabria,Castrovillari,
Ndr0002519,Neri,Rossi,M,31/05/1991,30,'Ndrangheta,Soldier,Calabria,Lamezia Terme,
Ndr0005963,Rosario,Rossi,M,03/04/1998,24,'Ndrangheta,Associate,Calabria,Vibo Valentia,
Ndr0005843,Tiziano,Rossi,M,09/02/1985,37,'Ndrangheta,Associate,Calabria,Rende,
Ndr0004978,Neri,Rossi,M,22/10/1984,37,'Ndrangheta,Soldier,Calabria,Lamezia Terme,
Ndr0000383,Saverio,Rossi,M,22/07/1951,70,'Ndrangheta,Capo,Calabria,Corigliano-Rossano,Ndr0002519
Ndr0005252,Alessandro,Rossi,M,25/06/1975,46,'Ndrangheta,Associate,Calabria,Corigliano-Rossano,Ndr0005963
Ndr0004210,Ludovico,Rossi,M,09/06/1953,68,'Ndrangheta,Soldier,Calabria,Montalto Uffugo,Ndr0005843
Ndr0000070,Cristian,Rossi,M,22/03/1950,72,'Ndrangheta,Boss,Calabria,Cosenza,Ndr0004978
Ndr0002351,Ferdinando,Rossi,M,30/04/1985,36,'Ndrangheta,Soldier,Calabria,Acri,
Cam0004970,Gabriele,Rossi,M,07/11/1990,31,Camorra,Soldier,Campania,Naples,
Cam0000781,Maurizio,Rossi,M,02/06/1954,67,Camorra,Capo,Campania,Benevento,
Cam0000786,Silvio,Rossi,M,02/08/1989,32,Camorra,Capo,Campania,Caserta,
Cam0004015,Davide,Rossi,M,06/07/1966,55,Camorra,Soldier,Campania,Benevento,Cam0004970
Cam0001896,Filippo,Rossi,M,16/09/1955,66,Camorra,Soldier,Campania,Naples,Cam0004970
Cam0000355,Giacomo,Rossi,M,01/08/1982,39,Camorra,Capo,Campania,Benevento,
Cam0003896,Tommaso,Rossi,M,20/03/1955,67,Camorra,Soldier,Campania,Caserta,Cam0000786
Cam0005114,Bernardo,Rossi,M,16/11/1981,40,Camorra,Soldier,Campania,Avellino,
Cam0002511,Diego,Rossi,M,06/10/1982,39,Camorra,Soldier,Campania,Naples,
Cam0005583,Saverio,Rossi,M,19/04/2001,20,Camorra,Soldier,Campania,Caserta,
Cam0004721,Angelo,Rossi,M,15/05/1952,69,Camorra,Soldier,Campania,Avellino,Cam0005114
Cam0004471,Cosimo,Rossi,M,15/07/1968,53,Camorra,Soldier,Campania,Benevento,
Cam0001314,Luca,Rossi,M,27/10/1959,62,Camorra,Capo,Campania,Caserta,Cam0002511
