,Police_ID,DOB,First_Name,Last_Name,Gender,Region,City,Police_Force,Rank,Most_Recent_Contact,Mafia_ID,Organisation
63,CPA117954613,1982-02-17,Matilde,Bianchi,F,Campania,Caserta,Polizei di Stato,Agent,Sac0000001,Sac0000001,Sacra Corona Unita
64,PGA844987079,1995-10-23,Marta,Bianco,F,Puglia,Bari,Guardia di Finanza,Officer,Cam0002891,Cam0002891,Camorra
65,SCY255034591,1996-02-25,Valeria,Morelli,F,Sicily,Vittoria,Polizei di Stato,Agent,Ndr0005113,Ndr0005113,'Ndrangheta
66,CPA710918608,1992-07-28,Fioretta,Greco,F,Campania,Avellino,The Carabinieri,Officer,Cam0001328,Cam0001328,Camorra
67,SCY298711094,1976-09-03,Claudio,Carbone,M,Sicily,Syracuse,Guardia di Finanza,Officer,Cos0000963,Cos0000963,Cosa Nostra
68,PGA618945350,1974-03-30,Giada,Bruno,F,Puglia,Bari,Guardia di Finanza,Sergeant,Cos0002704,Cos0002704,Cosa Nostra
69,SCY328598593,1966-10-07,Elisa,Carbone,F,Sicily,Caltanissetta,Polizei di Stato,Agent,Cam0004993,Cam0004993,Camorra
70,CPA864000965,1965-11-17,Fiorella,Mazza,F,Campania,Caserta,Polizei di Stato,Agent,Cos0005084,Cos0005084,Cosa Nostra
71,SCY705422623,1970-09-12,Valentino,Messina,M,Sicily,Trapani,Polizei di Stato,Agent,Ndr0002577,Ndr0002577,'Ndrangheta
72,SCY905928560,1976-05-29,Francesco,Rossi,M,Sicily,Catania,Guardia di Finanza,Officer,Ndr0004561,Ndr0004561,'Ndrangheta
73,PGA868686369,1999-12-15,Fabrizio,Santoro,M,Puglia,Taranto,Guardia di Finanza,Sergeant,Ndr0003618,Ndr0003618,'Ndrangheta
74,PGA452449684,1959-04-26,Dafne,Rizzo,F,Puglia,Lecce,Polizei di Stato,Agent,Cam0003065,Cam0003065,Camorra
75,CPA508786264,1969-10-29,Tommaso,Guerra,M,Campania,Naples,Polizei di Stato,Agent,Ndr0004468,Ndr0004468,'Ndrangheta
76,CPA731318566,1967-08-10,Ernesto,Bianco,M,Campania,Salerno,Guardia di Finanza,Officer,Ndr0000677,Ndr0000677,'Ndrangheta
77,SCY440806799,1968-12-05,Carla,Santoro,F,Sicily,Trapani,Guardia di Finanza,Sergeant,Cos0004674,Cos0004674,Cosa Nostra
78,PGA101034063,2003-03-09,Guido,Marino,M,Puglia,Andria,Polizei di Stato,Sergeant,Cam0001718,Cam0001718,Camorra
79,PGA212962478,1972-12-17,Samuele,Ferri,M,Puglia,Lecce,Guardia di Finanza,Officer,Cam0005480,Cam0005480,Camorra
80,PGA405939884,1990-06-30,Martina,Greco,F,Puglia,Bari,Polizei di Stato,Agent,Ndr0004287,Ndr0004287,'Ndrangheta
81,SCY194697197,1983-06-03,Emilia,Rossi,F,Sicily,Vittoria,The Carabinieri,Lieutenent,Ndr0004287,Ndr0004287,'Ndrangheta
82,SCY227108752,1956-12-02,Marco,Greco,M,Sicily,Ragusa,Polizei di Stato,Agent,Ndr0001574,Ndr0001574,'Ndrangheta
83,CLA759688753,1975-01-31,Luisa,D'amico,F,Calabria,Castrovillari,The Carabinieri,Lieutenent,Ndr0001574,Ndr0001574,'Ndrangheta
84,PGA145938292,2003-09-28,Angelo,Bianco,M,Puglia,Taranto,Polizei di Stato,Sergeant,Cam0000092,Cam0000092,Camorra
85,PGA288361480,1966-07-11,Elettra,Pellegrini,F,Puglia,Andria,The Carabinieri,Officer,Cos0000074,Cos0000074,Cosa Nostra
86,CPA212366357,1986-11-26,Margherita,Martinelli,F,Campania,Salerno,The Carabinieri,Lieutenent,Cos0000074,Cos0000074,Cosa Nostra
87,SCY592972242,1961-05-10,Dario,Rossi,M,Sicily,Gela,Polizei di Stato,Assistant,Cos0000590,Cos0000590,Cosa Nostra
88,SCY863260142,1975-07-17,Tullio,Santoro,M,Sicily,Catania,Polizei di Stato,Sergeant,Cos0005382,Cos0005382,Cosa Nostra
89,CLA640367678,1998-10-18,Antonio,De Santis,M,Calabria,Corigliano-Rossano,Polizei di Stato,Agent,Cos0005382,Cos0005382,Cosa Nostra
90,SCY957027569,1965-04-07,Arianna,Giuliani,F,Sicily,Messina,Guardia di Finanza,Officer,Cam0001983,Cam0001983,Camorra
91,CPA928248318,1986-08-13,Davide,Bruno,M,Campania,Naples,Polizei di Stato,Agent,Ndr0000320,Ndr0000320,'Ndrangheta
92,SCY173614852,1997-12-13,Mario,Rizzo,M,Sicily,Gela,Guardia di Finanza,Officer,Sac0000039,Sac0000039,Sacra Corona Unita
93,SCY848996627,1981-02-08,Angelo,Gentile,M,Sicily,Syracuse,Polizei di Stato,Agent,Cam0005488,Cam0005488,Camorra
94,SCY982075873,1990-02-18,Elvira,Barbieri,F,Sicily,Ragusa,Guardia di Finanza,Officer,Cam0006434,Cam0006434,Camorra
95,SCY732789374,1993-09-03,Margherita,Bruno,F,Sicily,Messina,The Carabinieri,Lieutenent,Cos0000999,Cos0000999,Cosa Nostra
96,CPA405252104,1990-03-19,Ferdinando,Rossi,M,Campania,Naples,Polizei di Stato,Sergeant,Ndr0003881,Ndr0003881,'Ndrangheta
97,PGA978879992,1976-03-08,Nives,Greco,F,Puglia,Foggia,Guardia di Finanza,Financier,Cam0000501,Cam0000501,Camorra
98,SCY389774294,1965-07-17,Gabriella,Rinaldi,F,Sicily,Ragusa,Guardia di Finanza,Officer,Ndr0001393,Ndr0001393,'Ndrangheta
99,PGA749043842,1999-09-08,Simone,Bruno,M,Puglia,Taranto,The Carabinieri,Officer,Ndr0005191,Ndr0005191,'Ndrangheta
100,CPA370688544,1976-01-11,Alfredo,De Santis,M,Campania,Naples,Guardia di Finanza,Financier,Sac0000532,Sac0000532,Sacra Corona Unita
101,PGA116354844,1976-11-08,Fabrizio,Fontana,M,Puglia,Andria,Guardia di Finanza,Sergeant,Cam0003803,Cam0003803,Camorra
102,CLA840866183,2002-01-11,Amelia,Palumbo,F,Calabria,Acri,Guardia di Finanza,Financier,Cos0001975,Cos0001975,Cosa Nostra
103,CPA756564545,1958-06-19,Alfredo,Fiore,M,Campania,Benevento,Guardia di Finanza,Officer,Ndr0004669,Ndr0004669,'Ndrangheta
104,SCY197938515,2001-03-18,Marzia,Marino,F,Sicily,Vittoria,Guardia di Finanza,Officer,Cos0005365,Cos0005365,Cosa Nostra
105,SCY804005614,1971-09-17,Beatrice,Villa,F,Sicily,Messina,Polizei di Stato,Sergeant,Cam0000891,Cam0000891,Camorra
106,CLA526694042,1956-12-01,Lorenzo,Gallo,M,Calabria,Crotone,Guardia di Finanza,Financier,Cam0006068,Cam0006068,Camorra
107,SCY364271949,2000-04-12,Rosario,Galli,M,Sicily,Marsala,Polizei di Stato,Assistant Chief,Ndr0003005,Ndr0003005,'Ndrangheta
108,SCY779947434,1979-11-13,Sabina,Parisi,F,Sicily,Trapani,Guardia di Finanza,Officer,Cam0003519,Cam0003519,Camorra
109,PGA501934453,1998-08-06,Niccolo,Greco,M,Puglia,Foggia,Polizei di Stato,Assistant Chief,Cos0005306,Cos0005306,Cosa Nostra
110,CPA941120955,1999-10-30,Giovanni,Santoro,M,Campania,Benevento,Guardia di Finanza,Financier,Cam0005680,Cam0005680,Camorra
111,CLA868938901,1992-04-25,Beatrice,Greco,F,Calabria,Montalto Uffugo,The Carabinieri,Officer,Cam0005680,Cam0005680,Camorra
112,CPA273350696,1959-01-11,Antonello,Santoro,M,Campania,Benevento,Polizei di Stato,Agent,Cos0001249,Cos0001249,Cosa Nostra
113,PGA938967611,2002-03-12,Antonia,Rossi,F,Puglia,Lecce,The Carabinieri,Lieutenent,Ndr0005542,Ndr0005542,'Ndrangheta
114,CPA236381832,1970-08-17,Federica,Conte,F,Campania,Avellino,Polizei di Stato,Agent,Sac0001946,Sac0001946,Sacra Corona Unita
115,PGA605126268,1984-06-17,Stefano,Bruno,M,Puglia,Lecce,Polizei di Stato,Superintendent,Ndr0001913,Ndr0001913,'Ndrangheta
116,SCY243153021,1972-01-17,Dario,Fiore,M,Sicily,Vittoria,Polizei di Stato,Sergeant,Ndr0001913,Ndr0001913,'Ndrangheta
117,SCY625486550,1971-03-03,Alessandro,Rizzi,M,Sicily,Vittoria,Polizei di Stato,Agent,Cam0001116,Cam0001116,Camorra
118,SCY603627435,1970-06-05,Samuele,Bruno,M,Sicily,Messina,Polizei di Stato,Sergeant,Cos0000541,Cos0000541,Cosa Nostra
119,CPA537104420,1992-11-20,Valentino,Rossi,M,Campania,Naples,Guardia di Finanza,Officer,Cam0001582,Cam0001582,Camorra
120,CPA73448307,1969-04-20,Mario,Rossi,M,Campania,Avellino,The Carabinieri,Lieutenent,Cam0001582,Cam0001582,Camorra
121,CPA344998012,1960-05-01,Pasquale,Mancini,M,Campania,Caserta,Guardia di Finanza,Officer,Ndr0004300,Ndr0004300,'Ndrangheta
122,SCY679750463,1956-11-30,Sofia,Montanari,F,Sicily,Ragusa,The Carabinieri,Officer,Cos0002634,Cos0002634,Cosa Nostra
123,PGA749726130,1979-12-17,Ruggero,Coppola,M,Puglia,Foggia,The Carabinieri,Lieutenent,Cos0001854,Cos0001854,Cosa Nostra
124,SCY863094538,1969-05-03,Rossana,Vitali,F,Sicily,Messina,Polizei di Stato,Agent,Ndr0002978,Ndr0002978,'Ndrangheta
125,PGA975898423,1961-10-29,Ginevra,Fontana,F,Puglia,Andria,Guardia di Finanza,Sergeant,Cam0001788,Cam0001788,Camorra
126,CPA261419483,1969-07-28,Angelo,Russo,M,Campania,Naples,Polizei di Stato,Agent,Cam0001788,Cam0001788,Camorra
127,PGA305736069,1956-07-30,Marcello,Rossi,M,Puglia,Taranto,Guardia di Finanza,Sergeant,Sac0000963,Sac0000963,Sacra Corona Unita
128,CLA813205984,1979-03-01,Alessia,Bruno,F,Calabria,Acri,Polizei di Stato,Assistant,Cos0004621,Cos0004621,Cosa Nostra
129,PGA143470624,1990-01-31,Dario,Ricci,M,Puglia,Andria,The Carabinieri,Lieutenent,Cos0000228,Cos0000228,Cosa Nostra
130,SCY131310906,1963-08-22,Giovanni,Fontana,M,Sicily,Vittoria,Polizei di Stato,Agent,Cos0000228,Cos0000228,Cosa Nostra
131,CPA893109883,1981-05-15,Gioia,Mancini,F,Campania,Benevento,Guardia di Finanza,Financier,Cam0004337,Cam0004337,Camorra
132,SCY568637469,1965-01-14,Tullio,Russo,M,Sicily,Catania,Polizei di Stato,Assistant Chief,Ndr0004960,Ndr0004960,'Ndrangheta
133,CPA640754851,1964-12-29,Isabella,Marino,F,Campania,Salerno,Polizei di Stato,Assistant,Cos0000973,Cos0000973,Cosa Nostra
134,CPA788020781,1998-03-09,Rita,Ricci,F,Campania,Avellino,The Carabinieri,Officer,Cam0001512,Cam0001512,Camorra
135,CLA519611277,1990-10-01,Alfredo,Messina,M,Calabria,Catanzaro,Polizei di Stato,Agent,Cos0000144,Cos0000144,Cosa Nostra
136,SCY541507142,1979-12-15,Nicola,Basile,M,Sicily,Palermo,Polizei di Stato,Agent,Cam0005276,Cam0005276,Camorra
137,SCY47834526,1985-02-02,Fabio,Basile,M,Sicily,Messina,The Carabinieri,Officer,Cos0000459,Cos0000459,Cosa Nostra
138,PGA314177557,1977-03-01,Susanna,Vitale,F,Puglia,Andria,Polizei di Stato,Assistant,Cos0000337,Cos0000337,Cosa Nostra
139,CPA762807223,1990-05-01,Serena,Leone,F,Campania,Caserta,Polizei di Stato,Agent,Cos0002610,Cos0002610,Cosa Nostra
140,SCY405955345,1959-09-16,Emma,Bruno,F,Sicily,Syracuse,Polizei di Stato,Agent,Cos0002610,Cos0002610,Cosa Nostra
141,PGA493863211,1989-08-30,Luca,Bruno,M,Puglia,Bari,Polizei di Stato,Agent,Ndr0005816,Ndr0005816,'Ndrangheta
142,CPA245500109,1961-11-13,Fiorella,Santoro,F,Campania,Naples,Guardia di Finanza,Officer,Cam0004818,Cam0004818,Camorra
143,SCY953141879,1973-05-01,Marzia,Greco,F,Sicily,Vittoria,Polizei di Stato,Sergeant,Cam0003350,Cam0003350,Camorra
144,SCY406048717,1959-10-22,Sebastiano,Colombo,M,Sicily,Vittoria,The Carabinieri,Officer,Cam0002773,Cam0002773,Camorra
145,PGA682874155,1979-07-02,Leonardo,Pagano,M,Puglia,Taranto,Guardia di Finanza,Officer,Cam0001037,Cam0001037,Camorra
146,CPA840606270,1974-07-26,Adriano,Mancini,M,Campania,Salerno,Polizei di Stato,Agent,Cam0001037,Cam0001037,Camorra
147,CPA86893379,1970-06-27,Rebecca,Ferrara,F,Campania,Naples,The Carabinieri,Lieutenent,Cam0002102,Cam0002102,Camorra
148,CPA138788001,1998-12-08,Marco,Rossi,M,Campania,Benevento,Polizei di Stato,Agent,Cos0003191,Cos0003191,Cosa Nostra
149,SCY569589886,1981-08-28,Raffaello,Greco,M,Sicily,Syracuse,Polizei di Stato,Agent,Cam0002156,Cam0002156,Camorra
150,CPA277381632,1983-10-26,Paola,Bianco,F,Campania,Caserta,The Carabinieri,Officer,Cam0002136,Cam0002136,Camorra
151,SCY269931098,1980-11-13,Alfredo,Bruno,M,Sicily,Marsala,The Carabinieri,Lieutenent,Cam0005883,Cam0005883,Camorra
152,PGA409111286,1976-10-18,Stefano,Pellegrini,M,Puglia,Andria,Polizei di Stato,Agent,Cam0003767,Cam0003767,Camorra
153,CPA895277899,1967-09-08,Fiorella,Bianco,F,Campania,Avellino,Guardia di Finanza,Officer,Cam0003767,Cam0003767,Camorra
154,CLA862591900,1994-01-28,Cristian,Bruno,M,Calabria,Montalto Uffugo,Polizei di Stato,Assistant Chief,Cos0001469,Cos0001469,Cosa Nostra
155,CLA994797793,1966-05-11,Lorenzo,Giordano,M,Calabria,Rende,Polizei di Stato,Assistant,Sac0001227,Sac0001227,Sacra Corona Unita
156,PGA901225302,1987-07-12,Giorgia,De Santis,F,Puglia,Bari,Polizei di Stato,Agent,Cam0000561,Cam0000561,Camorra
157,SCY439427855,1972-09-04,Salvo,Valentini,M,Sicily,Catania,Polizei di Stato,Sergeant,Ndr0004210,Ndr0004210,'Ndrangheta
158,SCY947088391,1967-12-22,Emiliano,Rossi,M,Sicily,Caltanissetta,Polizei di Stato,Agent,Cam0001454,Cam0001454,Camorra
159,SCY294297148,1996-05-27,Sofia,D'angelo,F,Sicily,Syracuse,Polizei di Stato,Agent,Ndr0001712,Ndr0001712,'Ndrangheta
160,SCY779102383,1989-03-14,Antonello,Bianchi,M,Sicily,Marsala,Guardia di Finanza,Officer,Ndr0004545,Ndr0004545,'Ndrangheta
161,CPA664963783,1992-02-29,Antonia,Bianco,F,Campania,Avellino,Polizei di Stato,Sergeant,Cos0004026,Cos0004026,Cosa Nostra
162,PGA130693197,1957-04-21,Diego,Damico,M,Puglia,Bari,Guardia di Finanza,Officer,Cos0004513,Cos0004513,Cosa Nostra
163,PGA40868555,2003-01-05,Lavinia,Fabbri,F,Puglia,Bari,Polizei di Stato,Agent,Cam0003120,Cam0003120,Camorra
164,SCY24113874,1960-05-20,Gioele,Rossi,M,Sicily,Ragusa,Guardia di Finanza,Officer,Cam0006275,Cam0006275,Camorra
165,CPA123110374,2002-04-21,Daniele,Santoro,M,Campania,Caserta,Polizei di Stato,Assistant,Ndr0005831,Ndr0005831,'Ndrangheta
166,PGA575911357,1998-06-01,Leonardo,Sala,M,Puglia,Foggia,The Carabinieri,Officer,Sac0000230,Sac0000230,Sacra Corona Unita
167,CPA99954504,1983-01-19,Filippo,Fiore,M,Campania,Benevento,Guardia di Finanza,Officer,Sac0001254,Sac0001254,Sacra Corona Unita
168,CPA458247192,1982-10-21,Monica,Caruso,F,Campania,Salerno,Polizei di Stato,Assistant,Sac0001254,Sac0001254,Sacra Corona Unita
169,CPA84953120,1962-02-02,Monica,Conti,F,Campania,Benevento,Guardia di Finanza,Financier,Cam0004552,Cam0004552,Camorra
170,CPA601237000,1989-08-15,Fabiana,Greco,F,Campania,Benevento,Polizei di Stato,Agent,Cam0004964,Cam0004964,Camorra
171,SCY566405604,1985-06-25,Dario,Santoro,M,Sicily,Palermo,Polizei di Stato,Sergeant,Ndr0004196,Ndr0004196,'Ndrangheta
172,SCY660925328,1991-04-08,Greta,Bruno,F,Sicily,Palermo,The Carabinieri,Officer,Ndr0004196,Ndr0004196,'Ndrangheta
173,CPA795126553,1967-10-03,Walter,Bianco,M,Campania,Avellino,Guardia di Finanza,Sergeant,Cos0001790,Cos0001790,Cosa Nostra
174,CPA363998632,1959-06-04,Pietro,Palumbo,M,Campania,Avellino,Polizei di Stato,Sergeant,Cos0003430,Cos0003430,Cosa Nostra
175,SCY657787377,1959-10-03,Monica,Rossi,F,Sicily,Ragusa,The Carabinieri,Officer,Cam0001646,Cam0001646,Camorra
176,CLA825977089,1980-10-25,Erica,Santoro,F,Calabria,Cosenza,Guardia di Finanza,Financier,Cos0004515,Cos0004515,Cosa Nostra
177,PGA261670491,1982-06-29,Susanna,Montanari,F,Puglia,Andria,Guardia di Finanza,Financier,Cos0004515,Cos0004515,Cosa Nostra
178,CPA415492507,1987-04-24,Miriam,Gentile,F,Campania,Salerno,Guardia di Finanza,Financier,Ndr0003242,Ndr0003242,'Ndrangheta
179,SCY855406296,1963-10-22,Davide,Marini,M,Sicily,Trapani,Polizei di Stato,Assistant,Cos0001184,Cos0001184,Cosa Nostra
180,SCY773301859,1963-06-18,Giuliano,Grasso,M,Sicily,Gela,Guardia di Finanza,Sergeant,Cos0001547,Cos0001547,Cosa Nostra
181,CPA661715607,1957-09-06,Massimiliano,Bianco,M,Campania,Naples,Polizei di Stato,Assistant Chief,Cos0000257,Cos0000257,Cosa Nostra
182,CPA289811579,1970-08-06,Giovanni,Ferrara,M,Campania,Avellino,Guardia di Finanza,Financier,Ndr0002775,Ndr0002775,'Ndrangheta
183,SCY783940949,1987-12-16,Lucia,Bianco,F,Sicily,Trapani,Guardia di Finanza,Sergeant,Ndr0002432,Ndr0002432,'Ndrangheta
184,PGA555902469,1987-09-07,Lorenzo,Greco,M,Puglia,Lecce,Polizei di Stato,Sergeant,Ndr0000325,Ndr0000325,'Ndrangheta
185,PGA987912160,1963-09-15,Giacomo,Pellegrini,M,Puglia,Bari,Polizei di Stato,Sergeant,Cam0006292,Cam0006292,Camorra
186,CPA664567377,1980-04-30,Alice,Santoro,F,Campania,Caserta,Polizei di Stato,Agent,Ndr0004653,Ndr0004653,'Ndrangheta
