,Raid_ID,Date,Region,City,Successful,Arrests,Lead_Officer_ID,First_Name,Last_Name
56,CAL87368,2019-05-28,Sicily,Caltanissetta,No,0,SCY461306509,Andrea,Santoro
57,MON62977,2018-12-18,Calabria,Montalto Uffugo,No,0,CLA973626475,Riccardo,Rossi
58,BEN73701,2015-11-06,Campania,Benevento,No,0,CPA860315190,Federico,Martinelli
59,NAP82771,2004-08-31,Campania,Naples,Yes,5,CPA43327465,Ferdinando,Milani
60,VIT80292,2018-04-11,Sicily,Vittoria,Yes,18,SCY482982853,Cristian,Greco
61,LEC68532,2010-10-21,Puglia,Lecce,Yes,16,PGA798028206,Dafne,Conti
62,SAL21224,2010-10-15,Campania,Salerno,No,0,CPA153130864,Aldo,Orlando
63,CAT61620,2012-05-04,Calabria,Catanzaro,Yes,13,CLA686369916,Guido,Sala
64,CAT28366,2013-08-05,Sicily,Catania,No,0,SCY984529582,Barbara,Bruno
65,CAS18689,2020-11-06,Campania,Caserta,No,0,CPA484191382,Laura,De Santis
66,LEC96726,2014-01-30,Puglia,Lecce,No,0,PGA357040105,Adele,Silvestri
67,NAP15572,2016-01-01,Campania,Naples,No,0,CPA195596417,Ruggero,Santoro
68,TAR32819,2015-03-09,Puglia,Taranto,No,0,PGA3188632,Nives,Sanna
69,MON41979,2009-07-12,Calabria,Montalto Uffugo,Yes,18,CLA890002044,Alfredo,Greco
70,TRA14357,2009-04-06,Sicily,Trapani,No,0,SCY874136990,Paolo,Bianco
71,CAT20566,2013-11-12,Calabria,Catanzaro,Yes,15,CLA214788236,Gabriella,Ricci
72,ACR62194,2010-08-05,Calabria,Acri,Yes,9,CLA478936881,Rocco,Greco
73,COS39859,2020-03-05,Calabria,Cosenza,No,0,CLA228003269,Ferdinando,Leone
74,MES33646,2005-01-11,Sicily,Messina,No,0,SCY351838771,Saverio,Martini
75,ACR32868,2007-11-03,Calabria,Acri,Yes,9,CLA365972891,Ezio,Rossi
76,FOG73679,2000-06-30,Puglia,Foggia,No,0,PGA846615306,Elvira,Santoro
77,CAT49386,2006-05-28,Sicily,Catania,Yes,11,SCY934177255,Alfredo,Ferri
78,CAT98922,2020-07-24,Sicily,Catania,No,0,SCY221319341,Stella,Bianco
79,RAG37429,2000-09-10,Sicily,Ragusa,Yes,10,SCY852757693,Roberto,Fabbri
80,NAP30443,2022-02-21,Campania,Naples,Yes,7,CPA362201199,Giada,Bianco
81,COS53766,2018-05-31,Calabria,Cosenza,No,0,CLA854453731,Stefania,Bruno
82,TRA85583,2010-08-07,Sicily,Trapani,No,0,SCY437854036,Maurizio,Lombardo
83,CAS53836,2021-07-18,Calabria,Castrovillari,No,0,CLA559324344,Pietro,Testa
84,REN48031,2000-10-31,Calabria,Rende,No,0,CLA403694057,Marco,Neri
85,NAP18056,2012-06-25,Campania,Naples,No,0,CPA261006791,Alessia,Bianco
86,NAP54865,2012-12-30,Campania,Naples,Yes,1,CPA522813652,Salvo,Bruno
87,SAL26047,2021-01-18,Campania,Salerno,Yes,1,CPA440825245,Antonio,Moretti
88,PAL18425,2020-04-24,Sicily,Palermo,Yes,12,SCY590725915,Dario,Mancini
89,BEN21315,2020-11-12,Campania,Benevento,No,0,CPA454403940,Bruno,Costa
90,TRA48214,2008-02-06,Sicily,Trapani,No,0,SCY8520976,Zeno,Marino
91,FOG01122,2009-06-29,Puglia,Foggia,No,0,PGA721736703,Vincenzo,Santoro
92,SAL47925,2019-12-05,Campania,Salerno,No,0,CPA610047862,Gianluca,Leone
93,LAM77984,2021-08-22,Calabria,Lamezia Terme,No,0,CLA588909597,Marco,Greco
94,MAR77972,2015-07-15,Sicily,Marsala,No,0,SCY350863099,Diego,Rossi
95,CAS93552,2010-01-31,Campania,Caserta,No,0,CPA149292566,Raffaele,Ferrari
96,CAT47363,2009-01-14,Sicily,Catania,No,0,SCY900092800,Adriano,Santoro
97,CAT26968,2011-08-19,Calabria,Catanzaro,No,0,CLA185471455,Alessandra,Bernardi
98,SAL50967,2010-05-01,Campania,Salerno,No,0,CPA750091952,Barbara,Bruno
99,AND74418,2002-05-04,Puglia,Andria,Yes,14,PGA794342581,Cristian,Ferrari
100,CAT85696,2006-01-20,Sicily,Catania,No,0,SCY168911382,Andrea,Ferri
101,VIT26887,2008-08-04,Sicily,Vittoria,No,0,SCY782795367,Filippo,Fabbri
102,SYR90493,2020-02-17,Sicily,Syracuse,No,0,SCY658493933,Maria,Messina
103,GEL23176,2016-09-13,Sicily,Gela,No,0,SCY648305189,Salvo,Bianco
104,RAG49996,2006-01-28,Sicily,Ragusa,Yes,12,SCY874110960,Fioretta,Marini
105,BEN89842,2007-09-05,Campania,Benevento,Yes,14,CPA933092302,Fabrizio,Pagano
106,BEN07158,2006-12-22,Campania,Benevento,No,0,CPA965942547,Ernesto,Gatti
107,CAS06281,2006-07-16,Calabria,Castrovillari,Yes,17,CLA459333983,Rosario,Benedetti
108,NAP08879,2005-02-21,Campania,Naples,Yes,2,CPA760644869,Barbara,Sanna
109,VIT01711,2021-05-10,Sicily,Vittoria,No,0,SCY937072149,Noemi,Bianco
110,CAS70373,2016-08-02,Campania,Caserta,No,0,CPA272075237,Mirco,Orlando
111,CAS89106,2014-06-11,Campania,Caserta,No,0,CPA928406811,Massimo,Greco
112,CAS54462,2002-09-23,Campania,Caserta,Yes,19,CPA776377265,Donatella,Marini
113,BEN63471,2012-08-03,Campania,Benevento,Yes,6,CPA974364182,Daniele,Grasso
114,LAM65205,2019-01-08,Calabria,Lamezia Terme,No,0,CLA751165124,Tullia,Gentile
115,REN08385,2020-01-20,Calabria,Rende,No,0,CLA667044799,Fioretta,Costa
116,BEN36308,2002-09-15,Campania,Benevento,No,0,CPA635341872,Giovanni,Bruno
117,BEN03614,2018-05-18,Campania,Benevento,Yes,2,CPA658098468,Ezio,Milani
118,COS36052,2022-01-15,Calabria,Cosenza,No,0,CLA924863348,Bianca,Santoro
119,NAP95118,2020-09-17,Campania,Naples,No,0,CPA909225786,Silvio,Bruno
120,FOG44794,2004-07-16,Puglia,Foggia,No,0,PGA395163089,Gianluca,Rizzo
121,NAP93449,2006-10-25,Campania,Naples,Yes,9,CPA439031621,Giovanna,Greco
122,MES01824,2003-08-29,Sicily,Messina,Yes,10,SCY343177788,Raul,Ferraro
123,CAT25291,2009-03-13,Calabria,Catanzaro,No,0,CLA396216224,Salvo,Bruno
124,LAM07153,2018-02-04,Calabria,Lamezia Terme,No,0,CLA772728913,Samuele,Bianco
125,LAM69364,2006-08-14,Calabria,Lamezia Terme,Yes,11,CLA999091723,Sara,Ferrara
126,VIB64562,2000-05-02,Calabria,Vibo Valentia,Yes,14,CLA603344874,Alessandra,Rossetti
127,CRO83209,2009-01-01,Calabria,Crotone,No,0,CLA880459962,Eleonora,Mariani
128,SAL94079,2003-04-16,Campania,Salerno,No,0,CPA889738066,Lorenzo,Bruno
129,LEC68563,2003-11-30,Puglia,Lecce,No,0,PGA240503336,Simona,Greco
130,NAP61998,2002-01-31,Campania,Naples,Yes,1,CPA621541758,Corrado,Ferrari
131,ACR46908,2020-05-17,Calabria,Acri,Yes,3,CLA783670744,Martina,Bruno
132,CAL05006,2000-01-05,Sicily,Caltanissetta,Yes,7,SCY641452490,Leonardo,Bianco
133,RAG42390,2004-12-13,Sicily,Ragusa,Yes,4,SCY948034361,Francesca,Montanari
134,BAR29451,2019-08-19,Puglia,Bari,No,0,PGA244773916,Claudio,Leone
135,TAR43550,2006-09-13,Puglia,Taranto,Yes,17,PGA739851632,Sofia,D'amico
136,COR42117,2002-12-25,Calabria,Corigliano-Rossano,No,0,CLA494813623,Antonello,Caruso
137,SYR36896,2004-08-01,Sicily,Syracuse,No,0,SCY302773302,Giovanni,Rossi
138,VIB13791,2001-09-06,Calabria,Vibo Valentia,Yes,1,CLA777612629,Walter,Vitali
139,COR80336,2011-08-03,Calabria,Corigliano-Rossano,No,0,CLA897742481,Vincenzo,Neri
140,BEN95520,2002-04-22,Campania,Benevento,Yes,10,CPA79659714,Ruggero,Bruno
141,AND86210,2004-12-02,Puglia,Andria,Yes,18,PGA806242940,Ilaria,Greco
142,CAT13715,2021-08-18,Sicily,Catania,No,0,SCY576122411,Filippo,Bruno
143,VIB35190,2011-07-09,Calabria,Vibo Valentia,No,0,CLA185898255,Mattia,Neri
144,VIT87552,2002-11-30,Sicily,Vittoria,No,0,SCY835902662,Roberto,Bruno
145,VIT43776,2000-03-22,Sicily,Vittoria,Yes,12,SCY168655695,Gioia,Grasso
146,CAS51319,2005-04-12,Calabria,Castrovillari,No,0,CLA844702915,Riccardo,Bianchi
147,COR48418,2012-09-21,Calabria,Corigliano-Rossano,Yes,3,CLA331077540,Raffaello,Bianco
148,VIB11288,2000-10-12,Calabria,Vibo Valentia,No,0,CLA766638609,Erica,Fiore
149,MAR99762,2018-09-03,Sicily,Marsala,No,0,SCY13920055,Fausto,Romano
150,COS43301,2014-10-17,Calabria,Cosenza,No,0,CLA924157444,Elettra,Barbieri
151,AVE09851,2021-08-12,Campania,Avellino,No,0,CPA664563829,Gioia,Bianco
152,SYR57701,2009-11-27,Sicily,Syracuse,Yes,14,SCY385748858,Fioretta,Santoro
153,BEN31377,2016-06-16,Campania,Benevento,No,0,CPA385120036,Miriam,Greco
154,MAR35373,2006-05-15,Sicily,Marsala,Yes,2,SCY940112045,Marta,Mazza
155,AVE74145,2005-05-14,Campania,Avellino,Yes,2,CPA775955121,Martina,Ricci
156,COS60966,2022-01-02,Calabria,Cosenza,No,0,CLA776134374,Saverio,Battaglia
157,GEL80798,2016-06-28,Sicily,Gela,Yes,12,SCY260653287,Sergio,Mariani
158,REG07091,2006-09-07,Calabria,Reggio Calabria,Yes,11,CLA721243930,Mirco,Rossi
159,CAT40145,2005-08-31,Sicily,Catania,Yes,14,SCY217026081,Emma,Testa
160,SAL93579,2005-04-28,Campania,Salerno,No,0,CPA834075997,Beatrice,Russo
161,VIT90194,2017-08-06,Sicily,Vittoria,No,0,SCY716440042,Marzia,Conte
162,BEN60054,2003-01-01,Campania,Benevento,No,0,CPA121629157,Sebastiano,Bruno
163,ACR22341,2013-01-28,Calabria,Acri,No,0,CLA446393567,Davide,Longo
164,NAP25373,2010-11-05,Campania,Naples,Yes,7,CPA990620988,Bianca,Villa
165,AVE63281,2014-01-31,Campania,Avellino,No,0,CPA524949321,Benedetta,Russo
166,CAS13126,2007-01-20,Campania,Caserta,No,0,CPA254747608,Rocco,De Luca
167,COS70217,2007-03-19,Calabria,Cosenza,No,0,CLA888624187,Giorgia,Grasso
168,PAL04991,2018-11-02,Sicily,Palermo,No,0,SCY570503834,Maria,Bianco
169,GEL36780,2005-02-06,Sicily,Gela,Yes,12,SCY736564232,Ruggero,Romano
170,GEL30686,2003-10-01,Sicily,Gela,No,0,SCY556877650,Elisa,Bruno
171,REN39596,2003-01-22,Calabria,Rende,No,0,CLA722306376,Raffaello,Bruno
172,FOG78108,2002-01-12,Puglia,Foggia,No,0,PGA680526205,Cristian,Vitale
173,CAT88586,2016-02-23,Sicily,Catania,Yes,16,SCY333082797,Cristian,Bruno
174,AVE02788,2009-11-14,Campania,Avellino,Yes,1,CPA196361597,Simone,Rossi
175,NAP50428,2007-12-10,Campania,Naples,No,0,CPA529989413,Ruggero,Caruso
176,FOG14127,2006-11-26,Puglia,Foggia,No,0,PGA546085274,Ernesto,Lombardi
177,TRA11175,2021-11-10,Sicily,Trapani,No,0,SCY143909470,Sabina,Santoro
178,CAS07202,2017-06-24,Campania,Caserta,No,0,CPA783006905,Andrea,Bruno
179,COR52713,2012-07-12,Calabria,Corigliano-Rossano,Yes,11,CLA415208203,Massimo,Conti
180,REN37438,2017-07-13,Calabria,Rende,No,0,CLA26695188,Simona,Lombardi
181,VIT31605,2000-11-24,Sicily,Vittoria,No,0,SCY190000323,Rocco,Bruno
182,COS58165,2014-04-03,Calabria,Cosenza,Yes,12,CLA538760554,Livia,Bruno
183,BEN47694,2021-09-10,Campania,Benevento,No,0,CPA795407612,Marco,Bernardi
184,MON75079,2016-09-18,Calabria,Montalto Uffugo,Yes,16,CLA325498315,Fabrizio,Ricci
185,SYR19759,2000-05-11,Sicily,Syracuse,Yes,3,SCY733800809,Alma,Longo
186,REN85469,2020-06-14,Calabria,Rende,No,0,CLA807162478,Mario,Conte
187,SAL19394,2010-02-16,Campania,Salerno,No,0,CPA721076780,Elisa,Sanna
188,CAL99068,2019-07-17,Sicily,Caltanissetta,No,0,SCY731228451,Antonello,Bianco
189,REG43702,2009-08-29,Calabria,Reggio Calabria,No,0,CLA625935908,Ruggero,Conte
190,CAS53750,2007-02-16,Calabria,Castrovillari,No,0,CLA536147837,Ruggero,Ferrari
191,BEN35324,2000-09-05,Campania,Benevento,Yes,18,CPA461844466,Edoardo,D'angelo
192,MES36080,2007-07-11,Sicily,Messina,No,0,SCY659746529,Edoardo,Bruno
193,BEN85950,2005-01-31,Campania,Benevento,Yes,15,CPA567632266,Livia,Rossi
194,REN25566,2008-12-14,Calabria,Rende,No,0,CLA38093417,Vito,Bruno
195,TRA93852,2003-07-29,Sicily,Trapani,Yes,6,SCY303423150,Zeno,Ferrari
196,BEN96093,2010-02-19,Campania,Benevento,No,0,CPA616254350,Francesca,Barbieri
197,TAR51993,2012-03-24,Puglia,Taranto,Yes,16,PGA544247403,Paola,Greco
198,COR33061,2007-04-23,Calabria,Corigliano-Rossano,No,0,CLA903478090,Paola,Messina
199,NAP92132,2001-06-28,Campania,Naples,Yes,12,CPA531466391,Sabina,Bruno
200,COS15451,2013-03-31,Calabria,Cosenza,Yes,4,CLA11062323,Alessandro,Costa
201,MES73961,2008-07-24,Sicily,Messina,Yes,5,SCY511974924,Stella,Marini
202,BEN67934,2004-12-05,Campania,Benevento,No,0,CPA767623540,Livia,Santoro
203,TRA11859,2016-03-08,Sicily,Trapani,No,0,SCY874136990,Paolo,Bianco
204,REG35997,2019-08-20,Calabria,Reggio Calabria,No,0,CLA890567557,Ernesto,Greco
205,CAT87365,2000-10-10,Calabria,Catanzaro,No,0,CLA431425007,Viola,Russo
206,SYR99415,2019-12-31,Sicily,Syracuse,Yes,10,SCY694727861,Zeno,Carbone
207,AVE07009,2015-07-04,Campania,Avellino,No,0,CPA801978677,Alessandra,Piras
208,AVE58214,2019-08-13,Campania,Avellino,No,0,CPA295599728,Davide,Pellegrini
209,BEN48281,2004-11-18,Campania,Benevento,Yes,1,CPA931910214,Cosimo,Bellini
210,CAT65484,2013-10-31,Calabria,Catanzaro,No,0,CLA958960634,Luca,Bruno
211,PAL98778,2015-09-30,Sicily,Palermo,Yes,12,SCY385723490,Adele,Greco
212,COS59113,2016-03-15,Calabria,Cosenza,Yes,7,CLA886492143,Susanna,Basile
213,PAL17367,2006-03-05,Sicily,Palermo,Yes,15,SCY354543529,Felice,Rossi
214,CAS62867,2000-03-12,Campania,Caserta,Yes,13,CPA584404674,Lorenzo,Greco
215,CRO22082,2000-11-06,Calabria,Crotone,No,0,CLA877117293,Antonia,Ferri
216,PAL62035,2001-02-25,Sicily,Palermo,Yes,17,SCY747932848,Rocco,Rossi
217,VIT51573,2010-08-30,Sicily,Vittoria,Yes,17,SCY60962287,Matilde,Fontana
218,MON65680,2007-06-22,Calabria,Montalto Uffugo,No,0,CLA659200140,Ruggero,Palumbo
219,CAS51176,2000-11-23,Campania,Caserta,No,0,CPA975850993,Gianluca,Fiore
220,COR85221,2003-12-03,Calabria,Corigliano-Rossano,No,0,CLA23692682,Neri,Fabbri
221,BAR40704,2016-10-14,Puglia,Bari,No,0,PGA111682658,Camilla,De Luca
222,LAM81626,2022-01-08,Calabria,Lamezia Terme,No,0,CLA204173016,Renato,Bruno
223,AND88640,2005-01-25,Puglia,Andria,Yes,11,PGA529223604,Antonia,D'angelo
224,SYR59682,2007-07-27,Sicily,Syracuse,Yes,4,SCY399878315,Saverio,Morelli
225,GEL19057,2012-04-25,Sicily,Gela,No,0,SCY176605458,Camillo,Bellini
226,GEL56017,2001-11-11,Sicily,Gela,Yes,4,SCY307387026,Raffaella,Romano
227,FOG09450,2019-07-23,Puglia,Foggia,No,0,PGA613500801,Patrizio,De Santis
228,SAL50342,2000-04-09,Campania,Salerno,No,0,CPA46869897,Augusto,Santoro
229,CRO17249,2006-05-02,Calabria,Crotone,No,0,CLA533863861,Angelo,Pagano
230,MES14069,2016-02-20,Sicily,Messina,Yes,3,SCY892608960,Paolo,Longo
231,CAS40028,2021-03-10,Campania,Caserta,No,0,CPA509867070,Massimo,Bruno
232,REG08953,2011-02-05,Calabria,Reggio Calabria,No,0,CLA3687979,Pasquale,Giordano
233,SYR63733,2009-08-31,Sicily,Syracuse,No,0,SCY511522466,Raul,Russo
234,GEL55759,2001-06-13,Sicily,Gela,Yes,19,SCY226587282,Beatrice,Greco
235,CAS84362,2018-02-04,Calabria,Castrovillari,Yes,8,CLA232108945,Gianluca,Bruno
236,RAG80034,2001-03-06,Sicily,Ragusa,No,0,SCY215088144,Diego,Bianco
237,CAS09019,2000-06-12,Campania,Caserta,Yes,6,CPA901596724,Sebastiano,Martinelli
238,CRO94550,2002-10-23,Calabria,Crotone,Yes,7,CLA67439203,Massimiliano,Bruno
239,CAL43548,2011-10-24,Sicily,Caltanissetta,Yes,14,SCY847239062,Gioele,Greco
240,REG31078,2007-12-17,Calabria,Reggio Calabria,No,0,CLA311525603,Bernardo,Moretti
241,CAS28523,2009-09-06,Calabria,Castrovillari,Yes,11,CLA943407410,Francesca,Costa
242,VIT58676,2011-03-31,Sicily,Vittoria,No,0,SCY367673646,Nicola,Fiore
243,AND86015,2009-01-03,Puglia,Andria,No,0,PGA519512782,Monica,Vitale
244,AVE88991,2005-11-03,Campania,Avellino,No,0,CPA85869107,Matteo,Battaglia
245,CAS09190,2004-07-19,Campania,Caserta,Yes,19,CPA429683360,Camilla,Marchetti
246,GEL80217,2000-09-11,Sicily,Gela,No,0,SCY754759060,Valentino,Mancini
247,SAL85118,2012-10-22,Campania,Salerno,No,0,CPA31922434,Andrea,Piras
248,SYR35692,2021-11-05,Sicily,Syracuse,No,0,SCY439736818,Emma,Parisi
249,COR06859,2019-05-07,Calabria,Corigliano-Rossano,Yes,18,CLA63494865,Niccolo,Bianco
250,PAL34308,2017-09-29,Sicily,Palermo,No,0,SCY866584046,Edoardo,Russo
251,ACR54011,2000-02-18,Calabria,Acri,Yes,7,CLA60389303,Mattia,Sanna
252,SAL74025,2019-11-26,Campania,Salerno,Yes,14,CPA90603636,Lavinia,Sartori
253,ACR80285,2014-03-16,Calabria,Acri,Yes,4,CLA178267579,Anna,Bruno
254,AVE90365,2003-05-02,Campania,Avellino,Yes,15,CPA488956672,Gioia,Bianco
255,SAL02674,2021-10-06,Campania,Salerno,No,0,CPA163472741,Felice,Bruno
256,NAP21857,2006-09-16,Campania,Naples,Yes,12,CPA949973051,Tullia,Rossi
257,VIB26171,2013-01-28,Calabria,Vibo Valentia,Yes,9,CLA41935661,Renato,Basile
258,MAR75547,2006-03-02,Sicily,Marsala,Yes,19,SCY588192530,Salvo,Palumbo
259,BEN14532,2004-03-27,Campania,Benevento,No,0,CPA534525263,Gabriele,Sanna
260,AVE53235,2019-12-28,Campania,Avellino,Yes,5,CPA560008834,Dario,Greco
261,NAP06820,2003-10-02,Campania,Naples,No,0,CPA600833969,Lavinia,Santoro
262,BEN44137,2010-01-16,Campania,Benevento,No,0,CPA983867828,Mirco,Longo
263,NAP22346,2018-11-10,Campania,Naples,Yes,15,CPA764708415,Valentino,Serra
264,AND01378,2020-04-30,Puglia,Andria,No,0,PGA673059195,Umberto,Santoro
265,CAL78454,2007-10-14,Sicily,Caltanissetta,No,0,SCY932560002,Fabrizio,Ricci
266,BEN25053,2009-03-24,Campania,Benevento,No,0,CPA510537503,Giacomo,Sala
267,BEN09399,2013-05-04,Campania,Benevento,Yes,7,CPA896551574,Ugo,Rossi
268,TAR57840,2001-01-24,Puglia,Taranto,No,0,PGA153341678,Riccardo,Mazza
269,SYR44046,2021-09-18,Sicily,Syracuse,Yes,14,SCY49795519,Cecilia,Ferrara
270,MAR00615,2001-07-21,Sicily,Marsala,No,0,SCY54406974,Mauro,Bruno
271,TRA86145,2013-03-02,Sicily,Trapani,No,0,SCY232065003,Carla,Mariani
272,SAL46532,2022-02-16,Campania,Salerno,No,0,CPA821837669,Valentina,Russo
273,NAP37709,2019-04-14,Campania,Naples,No,0,CPA525342914,Alfredo,Galli
274,ACR85814,2008-12-16,Calabria,Acri,Yes,9,CLA556731182,Barbara,D'angelo
275,RAG77201,2018-09-18,Sicily,Ragusa,Yes,12,SCY869543126,Vito,Rossi
276,PAL71355,2011-09-07,Sicily,Palermo,Yes,7,SCY374111878,Rosario,Bianchi
277,BAR87194,2008-06-04,Puglia,Bari,Yes,13,PGA644966147,Sara,Bruno
278,MES79779,2018-12-17,Sicily,Messina,Yes,12,SCY437850439,Michele,Bruno
279,NAP62101,2012-12-23,Campania,Naples,No,0,CPA390134337,Rosa,Bruno
280,SAL54229,2004-03-06,Campania,Salerno,No,0,CPA867040046,Gioele,Santoro
281,ACR09793,2014-07-14,Calabria,Acri,No,0,CLA362647940,Fausto,Russo
282,CAL02768,2013-12-01,Sicily,Caltanissetta,No,0,SCY403642213,Giuliano,Rossi
283,CAS57733,2006-10-31,Calabria,Castrovillari,No,0,CLA226157626,Cristian,Bianchi
284,MON98574,2004-07-06,Calabria,Montalto Uffugo,Yes,17,CLA261814897,Alessio,Rizzo
285,LEC46681,2001-02-15,Puglia,Lecce,Yes,4,PGA848283987,Nicola,Farina
286,GEL50231,2017-08-24,Sicily,Gela,No,0,SCY246286193,Neri,D'amico
287,VIB19647,2004-07-11,Calabria,Vibo Valentia,No,0,CLA195696065,Gioele,Costa
288,CAS40957,2021-01-23,Campania,Caserta,Yes,3,CPA225122120,Walter,Bruno
289,COS30941,2002-09-29,Calabria,Cosenza,No,0,CLA874850035,Rita,Greco
290,TRA86048,2006-05-02,Sicily,Trapani,No,0,SCY541935617,Riccardo,Bruno
291,CAT51685,2011-08-16,Sicily,Catania,No,0,SCY833446193,Antonella,De Santis
292,REG94779,2019-06-08,Calabria,Reggio Calabria,No,0,CLA898909034,Ada,Caruso
293,RAG86641,2018-04-07,Sicily,Ragusa,No,0,SCY630249051,Antonello,Russo
294,TAR70700,2005-11-29,Puglia,Taranto,No,0,PGA419188715,Elio,Giuliani
295,NAP84821,2013-03-03,Campania,Naples,No,0,CPA263151582,Alberto,Bruno
296,ACR71266,2006-08-15,Calabria,Acri,Yes,9,CLA593328824,Salvatore,Rossi
