,Public_ID,First_Name,Last_Name,Gender,DOB,Age,Region,City,ChildID,Most_Recent_Call,Notable_Family_Member,Mafia_ID,Organisation
49,P00907267,Dafne,Piras,F,1965-04-23,56,Calabria,Castrovillari,,Cos0000484,,Cos0000484,Cosa Nostra
50,P00001787,Dario,Rossi,M,1996-05-09,25,Calabria,Catanzaro,,Ndr0003638,,Ndr0003638,'Ndrangheta
51,P00001865,Aldo,Rossi,M,2000-03-12,22,Calabria,Vibo Valentia,,Sac0000593,,Sac0000593,Sacra Corona Unita
52,P00279738,Emilia,Mancini,F,1952-03-01,70,Calabria,Montalto Uffugo,,Sac0000593,,Sac0000593,Sacra Corona Unita
53,P00568469,Domenico,Parisi,M,1941-04-23,80,Calabria,Vibo Valentia,P0147175,Sac0000593,,Sac0000593,Sacra Corona Unita
54,P00001914,Fioretta,Rossi,F,1969-04-03,53,Calabria,Cosenza,P0039753,Ndr0005637,,Ndr0005637,'Ndrangheta
55,P00001919,Eva,Rossi,F,1977-01-05,45,Calabria,Corigliano-Rossano,,Ndr0004745,,Ndr0004745,'Ndrangheta
56,P00429900,Emanuele,Caruso,M,1957-08-04,64,Sicily,Ragusa,P0130911,Ndr0004745,,Ndr0004745,'Ndrangheta
57,P00001959,Renato,Rossi,M,1951-06-04,70,Calabria,Acri,P0214344,Sac0001823,,Sac0001823,Sacra Corona Unita
58,P00696865,Guido,Pellegrini,M,1950-01-05,72,Sicily,Messina,P0053438,Sac0001823,,Sac0001823,Sacra Corona Unita
59,P00001980,Valentina,Rossi,F,1977-02-20,45,Calabria,Reggio Calabria,P0039933,Cam0001129,,Cam0001129,Camorra
60,P00815304,Carlotta,Benedetti,F,1977-04-12,45,Campania,Caserta,P0072453,Cam0001129,,Cam0001129,Camorra
61,P00001997,Adriano,Rossi,M,1994-08-22,27,Calabria,Corigliano-Rossano,,Cos0001939,,Cos0001939,Cosa Nostra
62,P00649169,Susanna,Grasso,F,1934-06-25,87,Puglia,Andria,P0038281,Cos0001939,,Cos0001939,Cosa Nostra
63,P00002113,Lucia,Rossi,F,1982-06-16,39,Calabria,Vibo Valentia,P0040838,Ndr0004114,,Ndr0004114,'Ndrangheta
64,P00794560,Adele,Pellegrino,F,1971-01-29,51,Sicily,Catania,P0158628,Ndr0004114,,Ndr0004114,'Ndrangheta
65,P00002119,Raul,Rossi,M,1965-08-22,56,Calabria,Catanzaro,,Ndr0001234,,Ndr0001234,'Ndrangheta
66,P00816878,Stella,Benedetti,F,1976-07-03,45,Puglia,Taranto,,Ndr0001234,,Ndr0001234,'Ndrangheta
67,P00002278,Alessandra,Rossi,F,1996-09-21,25,Calabria,Lamezia Terme,,Cam0006175,,Cam0006175,Camorra
68,P00002290,Samuele,Rossi,M,1951-07-04,70,Calabria,Cosenza,P0003276,Ndr0004422,,Ndr0004422,'Ndrangheta
69,P00113878,Giovanna,Ferrari,F,1965-02-02,57,Sicily,Messina,,Ndr0004422,,Ndr0004422,'Ndrangheta
70,P00136929,Alessia,Bianchi,F,1988-07-04,33,Puglia,Bari,,Ndr0004422,,Ndr0004422,'Ndrangheta
71,P00157411,Marco,Romano,M,1941-06-18,80,Puglia,Lecce,P0181112,Ndr0004422,,Ndr0004422,'Ndrangheta
72,P00469596,Paola,Leone,F,1933-07-09,88,Campania,Avellino,P0232453,Ndr0004422,,Ndr0004422,'Ndrangheta
73,P00002295,Emanuele,Rossi,M,1953-01-21,69,Calabria,Cosenza,P0023796,Cam0000100,,Cam0000100,Camorra
74,P00647778,Tommaso,Grasso,M,1992-12-04,29,Puglia,Bari,,Cam0000100,,Cam0000100,Camorra
75,P00824083,Stefania,Rossetti,F,1953-03-31,69,Campania,Avellino,P0134827,Cam0000100,,Cam0000100,Camorra
76,P00002331,Elio,Rossi,M,1994-05-28,27,Calabria,Vibo Valentia,,Cam0006318,,Cam0006318,Camorra
77,P00002369,Ginevra,Rossi,F,1998-05-24,23,Calabria,Montalto Uffugo,,Cos0002093,,Cos0002093,Cosa Nostra
78,P00771883,Angelo,Mazza,M,1952-09-21,69,Campania,Caserta,P0113503,Cos0002093,,Cos0002093,Cosa Nostra
79,P00002536,Maurizio,Rossi,M,1995-07-18,26,Calabria,Cosenza,,Cos0003290,,Cos0003290,Cosa Nostra
80,P00002561,Dario,Rossi,M,1930-09-25,91,Calabria,Crotone,P0246506,Cos0004388,,Cos0004388,Cosa Nostra
81,P00308469,Gabriele,Giordano,M,1996-04-26,25,Calabria,Castrovillari,,Cos0004388,,Cos0004388,Cosa Nostra
82,P00002566,Cecilia,Rossi,F,1967-08-12,54,Calabria,Reggio Calabria,P0184174,Cos0004167,,Cos0004167,Cosa Nostra
83,P00239190,Silvio,Gallo,M,1984-05-30,37,Campania,Benevento,P0097163,Cos0004167,,Cos0004167,Cosa Nostra
84,P00002639,Walter,Rossi,M,1990-08-21,31,Calabria,Acri,,Cos0002481,,Cos0002481,Cosa Nostra
85,P00487402,Aurora,Gentile,F,1939-07-15,82,Calabria,Vibo Valentia,P0077156,Cos0002481,,Cos0002481,Cosa Nostra
86,P00560593,Salvatore,Marchetti,M,1934-07-16,87,Campania,Avellino,P0021146,Cos0002481,,Cos0002481,Cosa Nostra
87,P00002654,Benedetta,Rossi,F,1962-02-04,60,Calabria,Acri,P0245765,Cos0003399,,Cos0003399,Cosa Nostra
88,P00002807,Walter,Rossi,M,1973-02-26,49,Calabria,Montalto Uffugo,,Cam0004900,,Cam0004900,Camorra
89,P00023976,Rita,Rossi,F,1937-11-04,84,Campania,Salerno,P0051839,Cam0004900,,Cam0004900,Camorra
90,P00587356,Alessio,Conte,M,1967-12-05,54,Calabria,Catanzaro,,Cam0004900,,Cam0004900,Camorra
91,P00987489,Adele,Damico,F,1975-02-16,47,Calabria,Vibo Valentia,,Cam0004900,,Cam0004900,Camorra
92,P00002889,Stefano,Rossi,M,2004-10-31,17,Calabria,Corigliano-Rossano,,Cam0004314,,Cam0004314,Camorra
93,P00848809,Donatella,Guerra,F,1998-09-13,23,Puglia,Taranto,,Cam0004314,,Cam0004314,Camorra
94,P00002911,Walter,Rossi,M,1985-05-27,36,Calabria,Cosenza,,Ndr0005860,,Ndr0005860,'Ndrangheta
95,P00716394,Laura,Farina,F,1937-08-28,84,Calabria,Acri,P0139704,Ndr0005860,,Ndr0005860,'Ndrangheta
96,P00739949,Pasquale,Monti,M,1971-09-08,50,Puglia,Andria,P0126943,Ndr0005860,,Ndr0005860,'Ndrangheta
97,P00002914,Luigi,Rossi,M,1963-07-10,58,Calabria,Corigliano-Rossano,P0141020,Ndr0003941,,Ndr0003941,'Ndrangheta
98,P00676053,Simone,Sala,M,1978-02-16,44,Puglia,Foggia,P0110611,Ndr0003941,,Ndr0003941,'Ndrangheta
99,P00002932,Susanna,Rossi,F,1950-08-07,71,Calabria,Montalto Uffugo,P0140996,Sac0000078,,Sac0000078,Sacra Corona Unita
100,P00219124,Viola,Bruno,F,1972-03-23,50,Calabria,Montalto Uffugo,,Sac0000078,,Sac0000078,Sacra Corona Unita
101,P00002978,Isabella,Rossi,F,1990-10-13,31,Calabria,Rende,,Cos0002062,,Cos0002062,Cosa Nostra
102,P00734691,Lavinia,Monti,F,1971-08-31,50,Calabria,Cosenza,P0008226,Cos0002062,,Cos0002062,Cosa Nostra
103,P00002985,Tullio,Rossi,M,2005-10-01,16,Calabria,Montalto Uffugo,,Cam0006051,,Cam0006051,Camorra
104,P00003086,Salvatore,Rossi,M,1934-04-01,88,Calabria,Reggio Calabria,P0142955,Cos0004205,,Cos0004205,Cosa Nostra
105,P00003140,Matilde,Rossi,F,1994-10-25,27,Calabria,Rende,,Cam0000713,,Cam0000713,Camorra
106,P00205474,Emiliano,Greco,M,1962-06-26,59,Campania,Naples,P0160254,Cam0000713,,Cam0000713,Camorra
107,P00424009,Laura,Caruso,F,1937-01-14,85,Campania,Salerno,P0019510,Cam0000713,,Cam0000713,Camorra
108,P00003197,Monica,Rossi,F,1990-10-20,31,Calabria,Catanzaro,,Ndr0001175,,Ndr0001175,'Ndrangheta
109,P00660028,Antonia,Valentini,F,1951-04-26,70,Sicily,Ragusa,P0028530,Ndr0001175,,Ndr0001175,'Ndrangheta
110,P00003243,Silvia,Rossi,F,1939-06-28,82,Calabria,Castrovillari,P0066266,Cam0001492,,Cam0001492,Camorra
111,P00003264,Giacomo,Rossi,M,1976-08-01,45,Calabria,Montalto Uffugo,P0190626,Ndr0002675,,Ndr0002675,'Ndrangheta
112,P00801624,Noemi,Carbone,F,1939-12-29,82,Puglia,Andria,P0149205,Ndr0002675,,Ndr0002675,'Ndrangheta
113,P00943545,Sofia,Costantini,F,1983-11-19,38,Calabria,Cosenza,,Ndr0002675,Cos0003352,Ndr0002675,'Ndrangheta
114,P00003497,Caterina,Rossi,F,1934-12-25,87,Calabria,Acri,P0064732,Cos0004789,,Cos0004789,Cosa Nostra
115,P00712954,Miriam,Sanna,F,1963-02-02,59,Puglia,Taranto,,Cos0004789,,Cos0004789,Cosa Nostra
116,P00003537,Alessia,Rossi,F,1954-10-19,67,Calabria,Reggio Calabria,P0045970,Cam0006276,,Cam0006276,Camorra
117,P00062117,Angelo,Russo,M,2003-11-05,18,Calabria,Rende,,Cam0006276,,Cam0006276,Camorra
118,P00697744,Aldo,Pellegrini,M,1951-06-18,70,Sicily,Syracuse,P0109665,Cam0006276,,Cam0006276,Camorra
119,P00003642,Fioretta,Rossi,F,1963-08-10,58,Calabria,Reggio Calabria,P0032656,Ndr0002221,,Ndr0002221,'Ndrangheta
120,P00003658,Lucio,Rossi,M,1985-10-29,36,Calabria,Corigliano-Rossano,,Cam0006595,,Cam0006595,Camorra
121,P00069663,Saverio,Russo,M,1971-07-05,50,Campania,Salerno,,Cam0006595,,Cam0006595,Camorra
122,P00203661,Benedetta,Greco,F,1943-03-10,79,Calabria,Acri,,Cam0006595,,Cam0006595,Camorra
123,P00003707,Lorenzo,Rossi,M,1976-05-08,45,Calabria,Cosenza,,Ndr0001337,,Ndr0001337,'Ndrangheta
124,P00003766,Silvio,Rossi,M,1962-02-07,60,Calabria,Vibo Valentia,P0150655,Ndr0000243,,Ndr0000243,'Ndrangheta
125,P00640949,Chiara,Marini,F,2000-08-19,21,Sicily,Syracuse,,Ndr0000243,,Ndr0000243,'Ndrangheta
126,P00003784,Silvio,Rossi,M,1958-02-24,64,Calabria,Corigliano-Rossano,,Cam0003403,,Cam0003403,Camorra
127,P00003788,Augusto,Rossi,M,2005-07-15,16,Calabria,Rende,,Cam0000396,,Cam0000396,Camorra
128,P00230854,Laura,Bruno,F,1974-06-21,47,Sicily,Ragusa,,Cam0000396,,Cam0000396,Camorra
129,P00003826,Massimiliano,Rossi,M,1991-05-31,30,Calabria,Reggio Calabria,,Ndr0005815,,Ndr0005815,'Ndrangheta
130,P00003885,Andrea,Rossi,M,1953-06-03,68,Calabria,Montalto Uffugo,P0150972,Cos0004155,,Cos0004155,Cosa Nostra
131,P00003947,Biagio,Rossi,M,1999-03-28,23,Calabria,Crotone,,Cos0002212,,Cos0002212,Cosa Nostra
132,P00147714,Nives,Romano,F,1977-08-25,44,Calabria,Lamezia Terme,,Cos0002212,,Cos0002212,Cosa Nostra
133,P00004006,Aldo,Rossi,M,1987-09-23,34,Calabria,Corigliano-Rossano,,Sac0001299,,Sac0001299,Sacra Corona Unita
134,P00004048,Gianluca,Rossi,M,1974-01-09,48,Calabria,Corigliano-Rossano,,Cos0004140,,Cos0004140,Cosa Nostra
135,P00135803,Isabella,Bianchi,F,2001-10-07,20,Puglia,Bari,,Cos0004140,,Cos0004140,Cosa Nostra
136,P00004069,Elio,Rossi,M,1989-04-24,32,Calabria,Catanzaro,,Ndr0000975,,Ndr0000975,'Ndrangheta
137,P00004117,Angelo,Rossi,M,1964-03-31,58,Calabria,Corigliano-Rossano,P0019640,Cam0004987,,Cam0004987,Camorra
138,P00137769,Francesca,Bianchi,F,2004-10-19,17,Puglia,Andria,,Cam0004987,,Cam0004987,Camorra
139,P00156061,Lucia,Romano,F,1932-06-06,89,Puglia,Foggia,P0187813,Cam0004987,,Cam0004987,Camorra
140,P00528248,Ruggero,Serra,M,1998-05-09,23,Calabria,Montalto Uffugo,,Cam0004987,,Cam0004987,Camorra
141,P00004239,Sara,Rossi,F,1986-02-21,36,Calabria,Castrovillari,,Ndr0000120,,Ndr0000120,'Ndrangheta
142,P00071619,Edoardo,Russo,M,1970-01-28,52,Campania,Caserta,P0039802,Ndr0000120,,Ndr0000120,'Ndrangheta
143,P00276871,Marzia,Mancini,F,1993-07-16,28,Calabria,Crotone,,Ndr0000120,,Ndr0000120,'Ndrangheta
144,P00004257,Filippo,Rossi,M,1987-03-04,35,Calabria,Corigliano-Rossano,,Cos0004428,,Cos0004428,Cosa Nostra
145,P00346674,Alfredo,Lombardi,M,1932-11-22,89,Sicily,Palermo,P0231150,Cos0004428,,Cos0004428,Cosa Nostra
146,P00004314,Ludovico,Rossi,M,1945-10-01,76,Calabria,Castrovillari,P0066198,Ndr0004891,,Ndr0004891,'Ndrangheta
147,P00963155,Agnese,Pagano,F,1939-04-09,83,Sicily,Catania,P0190233,Ndr0004891,,Ndr0004891,'Ndrangheta
148,P00004366,Mattia,Rossi,M,1946-05-09,75,Calabria,Corigliano-Rossano,,Ndr0004928,,Ndr0004928,'Ndrangheta
149,P00004436,Giulia,Rossi,F,1945-11-06,76,Calabria,Montalto Uffugo,,Ndr0004778,,Ndr0004778,'Ndrangheta
150,P00206735,Ludovico,Greco,M,1975-09-27,46,Campania,Naples,,Ndr0004778,,Ndr0004778,'Ndrangheta
151,P00004442,Giulio,Rossi,M,1931-08-12,90,Calabria,Vibo Valentia,P0146595,Cam0004093,,Cam0004093,Camorra
152,P00434119,Claudio,Ferrara,M,1943-04-10,79,Calabria,Rende,P0135887,Cam0004093,,Cam0004093,Camorra
153,P00004458,Mario,Rossi,M,1948-07-14,73,Calabria,Rende,P0032476,Ndr0005694,,Ndr0005694,'Ndrangheta
154,P00055358,Ada,Russo,F,1970-12-22,51,Calabria,Reggio Calabria,,Ndr0005694,,Ndr0005694,'Ndrangheta
155,P00498058,Giuliano,Martinelli,M,1985-11-26,36,Calabria,Montalto Uffugo,,Ndr0005694,,Ndr0005694,'Ndrangheta
156,P00004730,Emanuele,Rossi,M,1979-08-30,42,Calabria,Lamezia Terme,P0210894,Cam0001294,,Cam0001294,Camorra
157,P00224771,Eleonora,Bruno,F,1965-08-26,56,Puglia,Lecce,,Cam0001294,,Cam0001294,Camorra
158,P00698558,Emilia,Palumbo,F,1952-08-15,69,Calabria,Catanzaro,P0012223,Cam0001294,,Cam0001294,Camorra
159,P00004760,Giuliano,Rossi,M,2003-08-31,18,Calabria,Rende,,Ndr0002205,,Ndr0002205,'Ndrangheta
160,P00365519,Ludovica,Barbieri,F,1937-09-28,84,Campania,Benevento,P0138619,Ndr0002205,,Ndr0002205,'Ndrangheta
161,P00382642,Rossana,Fontana,F,1967-03-12,55,Sicily,Trapani,P0127609,Ndr0002205,,Ndr0002205,'Ndrangheta
162,P00529331,Marco,Serra,M,1971-06-22,50,Campania,Caserta,P0046715,Ndr0002205,,Ndr0002205,'Ndrangheta
163,P00771381,Niccolo,Mazza,M,1960-04-30,61,Campania,Naples,,Ndr0002205,,Ndr0002205,'Ndrangheta
164,P00918982,Rosario,Vitali,M,1975-01-03,47,Sicily,Messina,,Ndr0002205,,Ndr0002205,'Ndrangheta
165,P00004861,Fabrizio,Rossi,M,1994-06-20,27,Calabria,Reggio Calabria,,Cos0000754,,Cos0000754,Cosa Nostra
166,P00487966,Emma,Gentile,F,1994-12-13,27,Calabria,Lamezia Terme,,Cos0000754,,Cos0000754,Cosa Nostra
167,P00004871,Vittorio,Rossi,M,1944-08-25,77,Calabria,Crotone,P0210737,Cos0001730,,Cos0001730,Cosa Nostra
168,P00347578,Marco,Moretti,M,1932-11-25,89,Calabria,Lamezia Terme,P0196403,Cos0001730,,Cos0001730,Cosa Nostra
169,P00004926,Emanuele,Rossi,M,1975-09-10,46,Calabria,Catanzaro,P0245409,Cos0004815,,Cos0004815,Cosa Nostra
170,P00359142,Margherita,Moretti,F,1942-05-17,79,Sicily,Messina,P0216360,Cos0004815,,Cos0004815,Cosa Nostra
171,P00913953,Fulvio,Vitali,M,1999-07-07,22,Calabria,Montalto Uffugo,,Cos0004815,,Cos0004815,Cosa Nostra
172,P00005081,Agnese,Rossi,F,2005-02-16,17,Calabria,Corigliano-Rossano,,Cam0006449,,Cam0006449,Camorra
173,P00005084,Sergio,Rossi,M,1966-05-23,55,Calabria,Reggio Calabria,P0071395,Cam0002649,,Cam0002649,Camorra
174,P00779588,Agnese,Testa,F,1994-04-30,27,Calabria,Acri,,Cam0002649,,Cam0002649,Camorra
175,P00005230,Giovanna,Rossi,F,1932-05-13,89,Calabria,Montalto Uffugo,P0135798,Cos0003874,,Cos0003874,Cosa Nostra
176,P00005278,Ezio,Rossi,M,1951-03-15,71,Calabria,Rende,P0209433,Cam0000993,,Cam0000993,Camorra
177,P00005383,Rosa,Rossi,F,2004-11-25,17,Calabria,Acri,,Cam0003158,,Cam0003158,Camorra
178,P00005384,Rosa,Rossi,F,1968-05-12,53,Calabria,Catanzaro,,Cam0000559,,Cam0000559,Camorra
179,P00813785,Valeria,Benedetti,F,1959-04-01,63,Calabria,Cosenza,P0045110,Cam0000559,,Cam0000559,Camorra
180,P00005395,Vittoria,Rossi,F,1967-05-01,54,Calabria,Montalto Uffugo,P0231741,Cam0002670,,Cam0002670,Camorra
181,P00286804,Massimo,Mancini,M,1993-11-09,28,Puglia,Andria,,Cam0002670,,Cam0002670,Camorra
182,P00005491,Giacomo,Rossi,M,1944-10-03,77,Calabria,Lamezia Terme,,Ndr0005733,,Ndr0005733,'Ndrangheta
183,P00005503,Corrado,Rossi,M,1936-01-03,86,Calabria,Acri,P0127887,Cos0001222,,Cos0001222,Cosa Nostra
184,P00203495,Caterina,Greco,F,1951-11-12,70,Calabria,Catanzaro,P0088217,Cos0001222,,Cos0001222,Cosa Nostra
185,P00573735,Niccolo,Parisi,M,1936-09-17,85,Sicily,Palermo,P0145383,Cos0001222,,Cos0001222,Cosa Nostra
186,P00760281,Sara,Amato,F,1954-07-15,67,Sicily,Vittoria,P0132903,Cos0001222,,Cos0001222,Cosa Nostra
187,P00979256,Ezio,Orlando,M,2004-08-24,17,Calabria,Lamezia Terme,,Cos0001222,,Cos0001222,Cosa Nostra
188,P00005592,Marcello,Rossi,M,1974-05-02,47,Calabria,Reggio Calabria,P0189407,Cos0001832,,Cos0001832,Cosa Nostra
189,P00071188,Augusto,Russo,M,1946-12-30,75,Campania,Salerno,P0061130,Cos0001832,,Cos0001832,Cosa Nostra
190,P00005610,Lavinia,Rossi,F,1976-11-23,45,Calabria,Reggio Calabria,,Cam0003384,,Cam0003384,Camorra
191,P00005977,Gabriella,Rossi,F,1992-07-24,29,Calabria,Montalto Uffugo,,Ndr0003565,,Ndr0003565,'Ndrangheta
192,P00421934,Saverio,Caruso,M,1993-02-28,29,Calabria,Corigliano-Rossano,,Ndr0003565,,Ndr0003565,'Ndrangheta
193,P00518986,Massimiliano,Lombardo,M,1992-11-02,29,Calabria,Crotone,,Ndr0003565,,Ndr0003565,'Ndrangheta
194,P00005985,Debora,Rossi,F,1937-04-30,84,Calabria,Rende,P0114948,Ndr0004102,,Ndr0004102,'Ndrangheta
195,P00006102,Nives,Rossi,F,1969-04-04,53,Calabria,Lamezia Terme,,Sac0000144,,Sac0000144,Sacra Corona Unita
196,P00283133,Caterina,Mancini,F,1972-05-31,49,Campania,Naples,,Sac0000144,,Sac0000144,Sacra Corona Unita
197,P00764520,Cristina,Silvestri,F,1994-03-11,28,Campania,Caserta,,Sac0000144,,Sac0000144,Sacra Corona Unita
198,P00006192,Isabella,Rossi,F,1982-12-19,39,Calabria,Acri,,Cam0001302,,Cam0001302,Camorra
199,P00897868,Diego,Riva,M,1954-12-21,67,Sicily,Messina,P0108099,Cam0001302,,Cam0001302,Camorra
200,P00006223,Lorenza,Rossi,F,1954-08-09,67,Calabria,Corigliano-Rossano,,Cam0002899,,Cam0002899,Camorra
201,P00503011,Emilio,Martinelli,M,1981-10-02,40,Puglia,Andria,,Cam0002899,,Cam0002899,Camorra
202,P00006238,Ada,Rossi,F,1982-03-28,40,Calabria,Corigliano-Rossano,,Ndr0001375,,Ndr0001375,'Ndrangheta
203,P00550717,Rocco,D'angelo,M,1997-06-08,24,Campania,Avellino,,Ndr0001375,,Ndr0001375,'Ndrangheta
204,P00006284,Sebastiano,Rossi,M,1975-10-29,46,Calabria,Crotone,,Ndr0002234,,Ndr0002234,'Ndrangheta
205,P00006290,Samuele,Rossi,M,1966-06-24,55,Calabria,Reggio Calabria,P0044777,Ndr0003588,,Ndr0003588,'Ndrangheta
206,P00905896,Antonio,Donati,M,1953-12-20,68,Sicily,Ragusa,P0069069,Ndr0003588,,Ndr0003588,'Ndrangheta
207,P00006458,Sabina,Rossi,F,1987-04-28,34,Calabria,Cosenza,,Ndr0003806,,Ndr0003806,'Ndrangheta
208,P00006504,Fiorella,Rossi,F,1962-01-24,60,Calabria,Vibo Valentia,P0045922,Ndr0005532,,Ndr0005532,'Ndrangheta
